message_id,date,author,reaction_score,themes,tools,text
2910,2025-05-19,ElisonCha,41,content_creation,ChatGPT,"📌Короче, новый кейс. Не спрашивайте, как я до этого докатилась.

Я собираю голос своих родителей — не метафорически, а буквально.
Записала длинные беседы с мамой и папой: о детстве, о конфетах на верхней полке, о том, как дрались в школе, воровали аквариумы, познакомились в Афганистане и делили жизнь напополам с чувством и юмором. Теперь из этого делаю проект.

Что это?
Проект на стыке психологии, литературы и семейной археологии. Я выгружаю аудио в текст (с шумами, с обрывами, с мятой речью), а потом — вместе с ChatGPT — шаг за шагом:
 • восстанавливаю диалоги, вычищаю, редактирую;
 • анализирую характеры родителей, их паттерны, смыслы, травмы;
 • превращаю сцены в художественные рассказы (ироничные, образные, с выводом);
 • пишу монологи от лица каждого;
 • собираю визуальные образы под сцены;
 • и параллельно анализирую себя — через то, что от них переняла, а что — отвергла.

На выходе:
Будет книга.
Из барбарисок, рачков, фингалов, фраз типа: «мать дала 20 копеек — хватило на пирожок и философию».
Будут визуалы, мини-главы, монологи с дыханием реальности.

Технически:
В проекте — полный транскрипт (помятый, рваный — и в этом его правда), файл-эталон стилистики, пошаговая обработка. Всё идёт в связке с ИИ — он тут как редактор, психотерапевт и соавтор в одном лице.

Зачем пишу:
Ну, во-первых, горжусь.
Во-вторых, если кто-то тоже хочет делать что-то похожее — зови.
В-третьих… это просто чертовски бесценная память. Даже если речь о барбарисках и поленьях."
3237,2025-06-01,Polina Ch,40,automation_agents|content_creation|meta_skills,n8n|Lovable,"всем привет! принесла тоже свой кейс. я не программист, но в код чуть чуть умею, зимой увидела в канале у Димы что появился lovable, и поняла что вот он мой шанс, сделать то, что я давно хочу с минимальным бюджетом)

предыстория чтобы погрузить в контекст:  я запускаю и руковожу предприятиями в сфере общепита, и каждый раз это такая боль интегрировать отечественные  erp системы туда, объяснять как там все работает, как этим всем пользоваться и зачем.  

и вот зимой у меня случилось знакомство с lovable, где я успешно навайбкодила себе erp систему, простую/легкую/красивую, которая, ВНЕЗАПНО, хорошо работает. Потом подключила туда через n8n ai-агента, чтобы он отвечал пользователю на вообще любой вопрос из его базы данных, теперь это какой то чистый кайф. сейчас ещё доделываю его, чтобы он сам и заказы обрабатывал, и сырье закупал))

я ее сделала сначала чисто под свое нынешнее производство, потому что 1С в какой то момент дико задолбал, но потом поняла, что этим должны пользоваться все маленькие производства, а не только мое, и решила ее релизнуть.

в общем, история про готовый MVP реально за месяц, без штата программистов и с бюджетом 200$. очень хотелось поделиться, что вайбкодинг это уже серьезный инструмент, мои навыки программиста пригодились только чтобы верстку чуть чуть править,   вот)"
3598,2025-07-25,Anna Denisova,25,community_practice,,"Ребята, я выпустила свою книжку на Амазоне, она для девочек от 8 до 12 лет, на деликатную тему первой менструации 💖

Все иллюстрации делала с помощью ИИ и мне в этом очень помогло комьюнити gconf, особенно дорогая Женя  Сорокина @millaego 💙

Сейчас книга только-только запустилась и чтобы она стала популярной — нужны первые скачивания и отзывы.

Поэтому я сделала её бесплатной на сутки и сердечно прошу вас мне помочь и заодно получить свою версию!💙

Что надо сделать:

1. Зайти на amazon.com, зарегиться, если еще нет аккаунта там. Если из РФ, то с vpn и регионом US (желательно, но можно и не US)

Если пользуетесь испанским/немецким/другим Амазоном, желательно сменить регион в настройках на US (но если никак, оставайтесь на своём регионе).

2. Набрать в поиске period book for girls и найти мою книгу (скрин, как она выглядит, будет ниже)

3. Кликнуть на книгу и купить kindle-версию за 0$.

Ну или купить-заказать печатную версию, если ВДРУГ вы можете это сделать, живете за границей и вам правда нужна такая книга 😃

4. Открыть книгу, полистать-почитать. Заценить иллюстрации🥹

5. ВАЖНО: поставить себе напоминалку через 3-7 дней вернуться в kindle, написать отзыв и поставить 5 звездочек.

6. Почувствовать, как вас обволакивают лучи моей любви и радоваться, что вы внесли вклад в популяризацию столь важной темы 💖"
3016,2025-05-22,Albert,25,daily_use|business_process|behavior_change|automation_agents|meta_skills,GPT,"#интро

Всем привет!
Меня зовут Альберт. Уже 20+ лет в атомной энергетике. Начинал с эксплуатации – в турбинном цехе Ростовской АЭС. Последние 12 лет - управление проектами на крупных стройках: Балтийская, Нововоронежская, Белорусская, Курская станции... Сейчас больше 4-х лет - замдиректора проекта по сооружению АЭС Руппур в Бангладеш.
Услышал когда-то на обучении, что строительство – вторая после охоты и рыбалки самая нецифровая отрасль. Поначалу хотел это изменить – участвовал в проектах по цифровизации, общался с айтишниками, пытался автоматизировать процессы. А потом осознал: ни один компьютер за тебя не от..здит проектировщика или монтажника, не изготовит вовремя оборудование, не проведёт переговоры с Заказчиком.
Так что сейчас всех «цифровизаторов» я аккуратно отправляю по известному адресу. Но для себя я продолжаю искать, как сделать умнее, проще, глубже. И тут ИИ, конечно, просто космос.
С GPT познакомился давно, но после конфы у Димы осознал: это не просто “помощник по формулировкам”. Это зеркало, рычаг и катализатор - если знать, как правильно общаться.
Сейчас GPT - мой партнёр в мышлении. Коуч, аналитик, резонатор. Помогает видеть яснее, отпускать лишнее и делать вещи по-настоящему.
Помимо работы, увлекаюсь психологией, скандинавскими рунами, DeFi и вообще всем, где можно копнуть глубже - в себя и в систему.

Хочу вместе с вами разгонять идеи, тестить подходы и собирать живые, работающие связки.

Рад быть здесь!"
2927,2025-05-21,Gconf Саппорт,24,business_process|community_practice|automation_agents,ChatGPT|GPT|Gamma|Make|n8n|NotebookLM,"🅰️🅰️🅰️🅰️🅰️🅰️   🅰️🅰️🅰️🅰️🅰️🅰️

🌟 Как нарезать подкаст в Reels с помощью ИИ? [https://t.me/c/2427462969/4/69]

🌟 Как сделать саммари звонка | создать своего коуча? [https://t.me/c/2427462969/4/71]

🌟 Как использовать ИИ для отслеживания эмоций и состояний (+ автоматизация Make с гугл-таблицами) [https://t.me/c/2427462969/4/379]

🌟 Исследуем ИИ-инструменты: Napkin | Merlin |  Notebooklm |  Heygen [https://t.me/c/2427462969/4/870]

🌟 Обновления OpenAI 2024 | Sora [https://t.me/c/2427462969/4/1117]

🌟 Создаем ИИ-ассистента в Make [https://t.me/c/2427462969/4/1118]

🌟 Урок от Леши Хахунова. Как создавать автоматизации с ИИ? [https://gconf.io/s4_lesson_7]

🌟 ИИ-разборы: Презентации в Gamma | Доп.функции ChatGPT [https://t.me/c/2427462969/4/1217]

🌟 Встреча-болталка «Влюблённый в ИИ» [https://t.me/c/2427462969/4/1535]

🌟 Как сделать автоматизацию в n8n (Телеграм + Google Sheets [https://t.me/c/2427462969/4/2687])

🌟 «Моя команда на 10 ролей или как я с помощью Chat GPT создала свою книгу» [https://t.me/c/2427462969/4/2111]

Подкасты:

🔵Как ИИ и AGI изменит нашу жизнь? Подкаст от Леши и Димы [https://t.me/c/2427462969/4/676]

🔵Получаем максимум от ИИ. Аудиоэфир Димы и Леши [https://t.me/c/2427462969/4/2453]


Коворкинг по автоматизации: 

Это серия встреч, где мы группой энтузиастов вместе разбираемся с автоматизациями и настраиваем их под наши задачи. Мы вынесли эти встречи в отдельный формат — потому что в них нет ведущего-эксперта, который даёт готовые решения. Здесь мы делимся запросами, пробуем, настраиваем, помогаем друг другу и учимся в процессе.

Коворкинг по автоматизации #1 [https://t.me/c/2427462969/4/1614]

Коворкинг по автоматизации # [https://t.me/c/2427462969/4/1765]2 [https://t.me/c/2427462969/4/1765]

Коворкинг по автоматизации # [https://t.me/c/2427462969/4/1991]3 [https://t.me/c/2427462969/4/1991]

Коворкинг по автоматизации # [https://t.me/c/2427462969/4/2273]4 [https://t.me/c/2427462969/4/2273]

А что, так можно было?

🌟  [https://t.me/c/2427462969/4/2875]Проджект-хакинг с Олей Павлюковой | А что, так можно было? #1 [https://t.me/c/2427462969/4/2875]

🌟 [https://t.me/c/2427462969/4/3460] Визуализация и вайбкодинг с Ильёй | А что, так можно было? #2 [https://t.me/c/2427462969/4/3460]"
1422,2025-02-07,Ilyá,22,daily_use|community_practice|content_creation,ChatGPT|GPT,"У меня давно был Cusotm GPT, который помогал создать событие в календаре из любого инпута, хоть скриншота, хоть переписки в чате. Круто для минигрупп было, когда все говорят когда могут и не могут и в каких они тайм зонах и я просто все эти сообщения закидывал в чат и он находил нам слот.
Но я хотел чтоб прямо из чата можно было добавить событие в календарь.
Я научил его генерить событие в формате эппл календаря ICS, вручную создавал файлик .ics, копировал в него текст, открывал и оно добавлялось в календарь. Не очень удобно.
И так почти перестал им пользоваться.

А сейчас я записался на курс и у них там расписание всяких созвонов и групп на 4 месяца и всё это в гугл таблицах. А я хочу в календаре.
И поэтому я решил разобраться в GPT Actions и сделать сервис, который генерит файлы для моего кастомного GPT.
Сел сегодня вечером, залип на пару часов и разобрался! Создал API сервис и добавил GPT Actions! И мой кастомный чатик вызывает сервис, чтоб создать файл, получает файл и даёт ссылку на скачивание. НО ССЫЛКА НЕ РАБОТАЕТ! пишет File not found.
Я порылся на форумах — всё не то. И уже в отчянии самому чатику говорю, что ссылка твоя не скачивается, пишет File not found. И он такой “ща, Analyzing…” и потом даёт опять ссылку и она скачивается!!
Я спросил что он сделал, добавил это ему в инструкции и теперь стабильно он генерит правильные ссылки! 
И самый прикол в том, что он не использует мои GPT Actions! он сам конент этого файла сочиняет. Так что GPT Actions я отключил. 

Скинул ему скриншот расписания на месяц, сказал что там везде время московское, и чтоб к групповым созвонам добавил ссылку на зум. Он создал файл, я добавил в календарь. И оно работает! 
В общем, рекомендую!
https://chatgpt.com/g/g-f7yqhQJ9N-calendar
И самый кайф, что на айфоне эти файлы тоже можно открывать и добавлять в календарь."
795,2024-12-06,Таня Минор,22,content_creation,ChatGPT|Gamma,"Ребята, я вчера за час сделала презентацию для инвесторов — и это чистая магия! Наговорила наш опыт в ChatGPT, он собрал текст, а потом всё загрузила в Gamma. Там можно вставлять свои фотографии или прямо в окошке генерить через нейросеть — очень удобно. Выбрала стиль, всё быстро подстроилось, а ссылки вместо пдф — вообще топ, потому что на любом экране всё выглядит идеально. И бесплатно 😀
Вот что получилось: https://gamma.app/docs/-40snz0svxhqxwgv"
2395,2025-04-08,Женя Сорокина,19,content_creation,GPT|Make,"Всем привет! Хочу поделиться) 
У меня на выходных знакомый попросил помочь и подсказать какие ии могут помочь проанализировать текст и на его основе составить статью. Я покопалась, пообщалась с чатом gpt и составила, отправила ему списочек. А потом подумала, а вдруг кому-то это тоже пригодится и обернула в мини-обзор. Который тоже составляла совместно с чатом gpt ) Плюс я вдохновилась идеей карточек, которые обсуждали выше и сгенерировала иллюстрации для каждой ии, а для инста формата сделала вертикальные карточки. С новый генератором иллюстраций в gpt работать, конечно, сплошное удовольствие. Если бы только еще чуть побыстрее был) 

Вот, делюсь с вами) 
Ссылка на мини-обзор: https://teletype.in/@millaego/6-ai-tools-to-make-writing-less-painful 

И приложила карточки."
3240,2025-06-01,Polina Ch,17,,,"т.к. я вообще в первые начала работать с н8н, я не стала изобретать там вообще ничего сложного. он у меня максимально простой, есть взаимодействие с БД postgres и пользователем в интерфейсе моего mvp. и есть промт в AI Tools,  длинной с книгу, что бы правильно обрабатывать вопрос от пользователя, и правильные запросы в бд посылать, еще настроила ии на пересылку мне обратной связи от пользователя в тг, если такова будет. Это пока все что я сделала, остальное теория пока) Как доработаю все эти штуки с заказами и закупками, обязательно поделюсь))"
3053,2025-05-25,Olga Fazullina,15,,,"Ребята, гамма огонь просто.

Задача: подготовить курс microlearning safe excel modeling

Решение: дипресерч на бест практис, примерная программа курса на 10 уроков по 10 минут

Закинула дополнительно две книжки по моделированию и выбрала первую тему. Чат набросал. Я в 4 итерации долгими аудио поправила, что считаю важно рассказать и в каком порядке. Докрутили.

Дальше прошу сделать структуру презентации, чтобы я скопировала на слайды

Чуть правлю. Дальше закидываю в гамму. И за 5 минут у меня все слайды собраны. Огненное огнище. Очень достойно все выглядит. Курс внутренний, париться и вылизывать не буду. Довольна как слон."
