message_id,date,themes,reaction_score,text
238,2024-03-06,daily_use,27,"Как использовать ChatGPT каждый день?

ChatGPT лучше приживается к жизни, когда его применяют к ежедневным задачам. 

Это может что-то простое. Например, готовка еды или планирование выходных. Именно с таких небольших задач начинается встраивание ИИ в быт и работу.

Выпускники первого потока тоже начинали с мелочей. Теперь они привыкли к новому помощнику и обращаются к ChatGPT по любым вопросам. 

И это становится их секретным инструментом эффективности. Они решают самые разные задачи быстрее, интереснее и проще.

Читайте кейсы наших учеников и вдохновляйтесь на внедрение ChatGPT в свою жизнь. Вместе вы сможете больше. Намного больше.

#жирныйкейс"
250,2024-03-08,,24,"ChatGPT: Полный апгрейд жизни — от переговоров до крипты

«Оооо… я невозможно обожаю ChatGPT». Так говорит Настя с первого потока интенсива.

Мы попросили ее рассказать подробнее, какие штуки она делает вместе с новым другом. Читайте наши карточки, чтобы быстрее это узнать.

P.S. Скоро мы выложим кейс для открытого разбора по обучению английскому языку [https://t.me/gptlovers/237].

#жирныйкейс"
257,2024-03-10,business_process,33,"Прокачиваем бизнес-процессы в SektaSchool

Сегодня делимся жирнейшим бизнес-кейсом. Паша расскажет о том, как проходит внедрение ChatGPT в SektaSchool.

На данный момент уже есть несколько успешных закрытых задач. Рассказываем в карточках."
264,2024-03-11,content_creation,34,"Как обработать 65 000 слов из переписки за 10 минут? Кейс Димы Мацкевича

Исходная ситуация: есть чат ретрита в Telegram, где за месяц накопилось 65 000 слов. Нужно из этой переписки выяснить, какие номера забронировать для проведения ретрита.

Прочитать весь чат вручную — это просто сойти с ума. Ограничиться только поиском по чату — это рисковать упустить что-то важное.

Лучшим решением в данной ситуации будет обратиться к ChatGPT. Он отлично обрабатывает большие объемы текста и выводит необходимую информацию.

Чтобы узнать, как именно это сделать, читайте кейс. В результате вы сможете решить подобную задачу всего за 10 минут, а не за час.

#жирныйкейс"
271,2024-03-13,community_practice,35,"Миссия выполнима: учим английский на уровне носителя

Мы обещали рассказать о том, как можно учить английский с помощью ChatGPT [https://t.me/gptlovers/237]. Встречайте Лизу, она практикует разговорный английский c ИИ и рассказывает о своём опыте в наших карточках.

Если тоже пробовали использовать для этого ChatGPT, расскажите об этом в комментариях.

#жирныйкейс"
278,2024-03-14,daily_use|community_practice,38,"Как выжить в эмиграции без знания языка и местной культуры?

Данный пост посвящается всем мигрантам! Рассказываем о кейсе Ани, которая переехала в Португалию полтора года назад и разобралась со всеми проблемами вместе с ChatGPT.

Многие, кто менял место жительства, замечают, что общение в других странах сильно отличается от привычного. 

Например, если в России можно ответить учительнице ребенка просто «хорошо, сделаем», то в другой стране это может быть воспринято как недостаточно вежливое обращение.

А пока поймешь другую культуру с нуля, все хорошие квартиры разберут, документы не дадут и тому подобные проблемы.

Чтобы разобраться во всем этом быстрее, нам пригодится полная поддержка и помощь со стороны ChatGPT. Наши карточки именно об этом!

#жирныйкейс"
317,2024-03-27,behavior_change|community_practice,30,"ChatGPT: психоанализ внутри сообщества

Сегодня мы расскажем про любопытный способ использования ChatGPT. Особенно это будет интересно любителям психологии.

Автором кейса является Ирина Гиберманн [https://t.me/giberwoman], участница первого потока. Она психотерапевт и супервизор. Кейсов, созданных Ириной, просто огромное количество! Мы посвятим ее историям еще несколько выпусков.

Начнем с первого кейса. Ирина внедрила ChatGPT в свое телеграм-сообщество и попросила его сделать анализ комментариев участников с точки зрения психодинамики.

Для успешной работы с ChatGPT Ирина применила несколько метаподходов и решений. Она настроила кастомные инструкции, предоставила подробную информацию о себе, погрузила в ценности сообщества и определила роль чату. В общем, Ирина использовала многие методики, которые мы обсуждали на нашем интенсиве.

Читайте карточки, а затем переходите по ссылке в ChatGPT [https://chat.openai.com/share/cf4c20c4-223f-4eee-a196-f90b0a2f00eb]. В этой переписке Ирина специально для нас рассказала о кейсе во всех деталях.

#жирныйкейс"
344,2024-04-02,business_process|community_practice,57,"Как психолог создала маркетинговую стратегию, внедрила GPT в сообщество и вывела на рынок продукт стоимостью в 28.000€?
Эфир с участницей 1-ого потока. Четверг 4 апреля в 14:00 МСК в этом канале.

Недавно мы рассказывали о кейсе Иры, где она успешно внедрила ИИ [https://t.me/gptlovers/317] в свое сообщество и работу.

Реакций и комментариев было так много, что мы решили пригласить Иру на прямой эфир. На этой встрече мы разберем несколько самых сочных кейсов.

1. Как Ира вывела на рынок продукт с общей стоимостью в 28.000€ при временных затратах в 24 часа?

2. Как создала маркетинговую стратегию ведения социальных сетей для разных сегментов клиентов?

3. Как смоделировала диалоги с клиентами для практики?

4. Как внедрила ChatGPT в личную и семейную жизнь?

5. Как изменила подходы в самообразовании и рефлексии?

Этот созвон будет ультра-ценным для психологов, коучей, менторов и других помогающих специалистов. После просмотра вы сможете применить полученные знания в своей работе.

Присоединяйтесь на звонок в этот четверг в 14:00 по МСК [https://t.me/gptlovers?livestream]."
414,2024-04-19,behavior_change,30,"Как проходит второй поток интенсива?

На этой неделе стартовал наш интенсив! Начало выдалось настолько энергичным, что у нас даже не было времени написать вам.

Участники уже успели реализовать кейсы, от которых мы испытываем гордость! А от одной истории пускаем слезы радости и восхищения (см. фото 4).

Ученики также отмечают изменения в своем мышлении, что помогает им внедрять ИИ в жизнь. 

Мы специально понижаем градус серьезности и даем больше свободы, чтобы создавать такие изменения. Рады, что все получается, как и планировалось!

Мы собрали несколько скриншотов, чтобы показать вам, как все проходит. 

Подглядывайте ;)"
424,2024-04-22,business_process|community_practice,10,"Как ИИ может описать опыт и процессы, которые у вас происходят?

Ксюша, [https://www.instagram.com/kssjamise?igsh=MWNrazV4MzV6NjQweA==] одна из протагонистов интенсива, пошла по следам наших звонков и попросила ИИ создать мантру/настройку про наши встречи. Ксюша [https://www.instagram.com/kssjamise?igsh=MWNrazV4MzV6NjQweA==] хотела зафиксировать, что мы забираем после звонков. 

Смотрите, как модели попали в то, что происходит у нас на митах ↓

P.S. По этой ссылке [https://easyretro.io/publicboard/FqMJsWPgzhgkYEzTT84vIIHQmyZ2/38ddcc2b-cac4-4a12-8d93-7abfc8960691] вы можете посмотреть, что участники забрали себе ценного после звонков."
426,2024-04-24,daily_use|business_process|behavior_change,34,"От страха и зависти к игривости и любопытству

Зачем изучать ИИ? Почему хочется пойти на интенсив? Для чего мне там быть?

Например, Таша, участница интенсива, пришла на поток из-за страха будущего и зависти к успехам других. Но к концу программы её чувства кардинально изменились. 

От страха и зависти она перешла к любопытству и увлечению, начала по-новому воспринимать информацию и открывать для себя ИИ. 

Нам очень понравился процесс и кейс Таши, поэтому решили поделиться всем с вами."
433,2024-04-24,behavior_change|community_practice,26,"Мета-подходы Димы и Леши по отношению с ИИ

Во время интенсива Лена, одна из протагонисток, записала подкаст с Димой и Лешей. Ребята рассказали, как они относятся к ИИ и взаимодействуют с ним в своей жизни. 

— Как Дима использует состояние любопытства? 
— Почему Леша однажды выгорел от ChatGPT?
— Из-за чего у некоторых не заводятся отношения с ИИ?
— Что делать с внутренним сопротивлением и страхом?
— и т.д. 

Внутри интенсива мы проработали все эти вопросы во время встреч. А здесь предлагаем вам послушать запись и осмыслить изменения в мире самостоятельно.

Тайм-коды:
00:08 — Как выстраивать отношения с ChatGPT? Как это делают Дима и Леша?
02:24 — Почему важно состояние, в котором идет взаимодействие с ChatGPT?
05:51 — Какая самая частая причина, почему у некоторых не получается интегрировать ChatGPT?
10:17 — То, что ChatGPT галлюцинирует, делает его похожим на человека
15:04 — Когда ChatGPT только появился, было много страха и переживаний
21:05 — Как сделать так, чтобы больше людей смогли разобраться в ИИ?
31:03 — Как преодолеть сопротивление изменениям лично и в компании?
38:30 — Как происходило сближение Леши и ChatGPT?
44:50 — Каким Леша и Дима видят будущее с AI?
50:01 — Как много времени Леша и Дима проводят с ChatGPT?

Лена [https://t.me/lenadeg], спасибо за такой классный звонок!"
460,2024-05-10,content_creation,23,"Пришла с синдромом самозванца, а сейчас провожу в компании лекцию по ИИ

Продолжаем делиться историями наших учеников. Сегодня расскажем о чудесной Галит [https://t.me/israelwonderland]. 

Галит работает маркетологом в международной компании и живет в Израиле. 

Мы поговорили с ней и узнали:
— почему она пришла на интенсив?
— что изменилось в ее жизни?
— кому бы она посоветовала пройти интенсив?

Читайте карточки, чтобы узнать все о Галит и ее прохождении интенсива. 

Кейс по поиску отеля оставляем в комментариях."
489,2024-06-13,community_practice|automation_agents,20,"После этого обучения я использую ИИ постоянно #жирныйкейс

Настя Human — выпускница второго потока интенсива. Она основательница международного агентства с креативными проектами в Дубаи, Бали и других точках мира.

Кроме этого, Настя — помогающий специалист. Она ведет коучинговую и менторскую практику.

Мы попросили Настю рассказать о 3-х кейсах, которые с ней произошли в последнее время:

— супервизия с GPT;
— советы от нутрициолога;
— поддержка в трагической ситуации.

Все подробности в карточках!

P.S. До начала интенсива всего 4 дня. Для брони места переходите по ссылке в бота [https://t.me/gptconf_bot?start=start]."
622,2025-03-18,business_process|community_practice,45,"От ИИ-интенсива Gconf до бестселлера на Amazon

Настя Барталевич — мама, UX-исследователь и продакт-менеджер. После интенсива Gconf она выпустила книгу «ChatGPT для родителей», которая стала бестселлером на Amazon. 

Но важны не только цифры и рейтинги. Настя доказала, что с помощью ИИ можно освободить время для самого ценного — семьи, друзей и себя.

В посте показываем, как именно обучение на Gconf помогло ей переосмыслить применение искусственного интеллекта и написать успешную книгу. 

А для наших выпускников Настя лично раскроет детали процесса и поделится ИИ-инструментами, которые использовала сама.

Напишите в комментариях, если хотите на закрытую встречу с Настей — мы выберем несколько человек и пригласим.

P.S. И подписывайтесь на телеграм канал Насти [https://t.me/makinglovetolife], там интересно!"
647,2025-03-29,meta_skills,13,"«Думала, ИИ — это не про меня». История Тани после Gconf

Есть тут те, кто слышит про ИИ, но думает: «Это интересно, но вряд ли мне пригодится».

Таня тоже так думала. Она предприниматель, у нее свой детский сад и центр в Черногории. За ИИ следила, но как применить — не понимала.

Сначала был маленький шаг: с помощью ChatGPT Таня разобралась в Figma. Уже польза! Но по-настоящему её взгляд на ИИ изменился на нашем интенсиве.

Именно там пришло понимание: ИИ — это не только инструмент, чтобы что-то быстро сделать. С ним можно вместе думать, искать решения, даже когда сам еще не до конца понимаешь задачу. Как с коллегой или партнером.

Листайте карусель, там подробнее.

Приходи на новый поток, чтобы освоить ИИ на таком же уровне! Старт 28 апреля.

Стоимость
— Early bird price (до 31 марта): 325 USD / 28 500 рублей
— Regular price (с 1 по 28 апреля): 380 USD / 33 200 рублей

→ Для оплаты переходи в нашего бота [https://t.me/gptconf_bot?start=start]"
